district_id;district;handle;level;hpM;hpC;rsi;x_pos;y_pos;z_pos;rotation;is_defeated;is_lootable
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1498;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1398;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1298;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1198;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1998;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1898;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;1798;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;2198;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;2298;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;2398;0;false;false
1;slums;Blackwoods;5;500;500;B3010058;16999;495;2498;0;false;false
